  DEPT      TENS      GR     CALI     BS      MMK      ITTT      DTC     BHVT    AHVT    CAL2    CAL1    CAL3    CAL4    CAL5    CAL6   
   2088.0324   -999.25 -999.25 -999.25 -999.25 -999.25    -999.25  -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 
   2088.1848   -999.25 -999.25 -999.25 -999.25 -999.25    -999.25  -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 
   2088.3372   -999.25 -999.25 -999.25 -999.25 -999.25    -999.25  -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 
   2088.4896   -999.25 -999.25 -999.25 -999.25 -999.25    -999.25  -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 
   2088.6420   -999.25 -999.25 -999.25 -999.25 -999.25    -999.25  -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 
   2088.7944   -999.25 -999.25 -999.25 -999.25 -999.25    -999.25  -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 
   2088.9468   -999.25 -999.25 -999.25 -999.25 -999.25    -999.25  -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 
   2089.0992   -999.25 -999.25 -999.25 -999.25 -999.25    -999.25  -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 
   2089.2516   -999.25 -999.25 -999.25 -999.25 -999.25    -999.25  -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 
   2089.4040   -999.25 -999.25 -999.25 -999.25 -999.25    -999.25  -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 
   2089.5564   -999.25 -999.25 -999.25 -999.25 -999.25    -999.25  -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 
   2089.7088   -999.25 -999.25 -999.25 -999.25 -999.25    -999.25  -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 
   2089.8612   -999.25 -999.25 -999.25 -999.25 -999.25    -999.25  -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 
   2090.0136   -999.25 -999.25 -999.25 -999.25 -999.25    -999.25  -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 
   2090.1660   -999.25 -999.25 -999.25 -999.25 -999.25    -999.25  -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 
   2090.3184   -999.25 -999.25 -999.25 -999.25 -999.25    -999.25  -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 
   2090.4708   -999.25 -999.25 -999.25 -999.25 -999.25    -999.25  -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 
   2090.6232   -999.25 -999.25 -999.25 -999.25 -999.25    -999.25  -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 
   2090.7756   -999.25 -999.25 -999.25 -999.25 -999.25    -999.25  -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 
   2090.9280   -999.25 -999.25 -999.25 -999.25 -999.25    -999.25  -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 
   2091.0804   -999.25 -999.25 -999.25 -999.25 -999.25    -999.25  -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 
   2091.2328   -999.25 -999.25 -999.25 -999.25 -999.25    -999.25  -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 
   2091.3852   -999.25 -999.25 -999.25 -999.25 -999.25    -999.25  -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 
   2091.5376   -999.25 -999.25 -999.25 -999.25 -999.25    -999.25  -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 
   2091.6900   -999.25 -999.25 -999.25 -999.25 -999.25    -999.25  -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 
   2091.8424   -999.25 -999.25 -999.25 -999.25 -999.25    -999.25  -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 
   2091.9948   -999.25 -999.25 -999.25 -999.25 -999.25    -999.25  -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 
   2092.1472   -999.25 -999.25 -999.25 -999.25 -999.25    -999.25  -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 -999.25 
